"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Placement__c/fields/Signer__c.field-meta.xml",1,1,13,14,"Signer__c is a potential auth token in a custom object: DocGen_Signature_Placement__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Request__c/fields/Secure_Token__c.field-meta.xml",1,1,12,14,"Secure_Token__c is a potential auth token in a custom object: DocGen_Signature_Request__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Request__c/fields/Signature_Data__c.field-meta.xml",1,1,10,14,"Signature_Data__c is a potential auth token in a custom object: DocGen_Signature_Request__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Request__c/fields/Signer_Email__c.field-meta.xml",1,1,10,14,"Signer_Email__c is a potential auth token in a custom object: DocGen_Signature_Request__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Request__c/fields/Signer_Name__c.field-meta.xml",1,1,11,14,"Signer_Name__c is a potential auth token in a custom object: DocGen_Signature_Request__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signature_Request__c/fields/Signing_Order__c.field-meta.xml",1,1,17,14,"Signing_Order__c is a potential auth token in a custom object: DocGen_Signature_Request__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/PIN_Hash__c.field-meta.xml",1,1,11,14,"PIN_Hash__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/Secure_Token__c.field-meta.xml",1,1,11,14,"Secure_Token__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/Signature_Data__c.field-meta.xml",1,1,11,14,"Signature_Data__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/Signature_Request__c.field-meta.xml",1,1,13,14,"Signature_Request__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/Signer_Email__c.field-meta.xml",1,1,9,14,"Signer_Email__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"ProtectSensitiveData","pmd",3,"AppExchange,Security,XML","force-app/main/default/objects/DocGen_Signer__c/fields/Signer_Name__c.field-meta.xml",1,1,10,14,"Signer_Name__c is a potential auth token in a custom object: DocGen_Signer__c","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#protectsensitivedata"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",53,44,57,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",65,44,69,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",79,45,83,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",93,44,97,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",105,44,109,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",118,45,122,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",127,45,131,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",136,45,140,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
"AvoidLwcBubblesComposedTrue","pmd",3,"AppExchange,Security,JavaScript","force-app/main/default/lwc/docGenTreeNode/docGenTreeNode.js",145,45,149,14,"Avoid setting both Lightning Web component bubbles and composed=true at the same time.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidlwcbubblescomposedtrue"
